Name,Position_x,Projection,Team_x,Position_y,Salary,Team_y,Kickoff
Zach Davidson,TE,0.0,BUF,TE,4100.0,BUF,Sun 4:25PM
Brayden Willis,TE,0.0,SF,TE,4000.0,SF,Sun 4:25PM
Ross Dwelley,TE,0.0,ATL,TE,4100.0,ATL,Sun 1:00PM
Ko Kieft,TE,0.0,TB,TE,4100.0,TB,Sun 1:00PM
Brady Russell,TE,0.0,SEA,TE,4000.0,SEA,Sun 4:05PM
Pittsburgh Steelers,DF,8.1,PIT,DF,5000.0,PIT,Sun 1:00PM
Philadelphia Eagles,DF,7.7,PHI,DF,4800.0,PHI,Sun 1:00PM
Minnesota Vikings,DF,7.5,MIN,DF,4700.0,MIN,Sun 1:00PM
New Orleans Saints,DF,7.2,NO,DF,4400.0,NO,Sun 1:00PM
Tampa Bay Buccaneers,DF,7.1,TB,DF,4900.0,TB,Sun 1:00PM
Tennessee Titans,DF,7.0,TEN,DF,4000.0,TEN,Sun 1:00PM
San Francisco 49ers,DF,7.0,SF,DF,4600.0,SF,Sun 4:25PM
Buffalo Bills,DF,6.9,BUF,DF,4300.0,BUF,Sun 4:25PM
Miami Dolphins,DF,6.4,MIA,DF,4500.0,MIA,Sun 1:00PM
Arizona Cardinals,DF,6.7,ARI,DF,3700.0,ARI,Sun 4:05PM
Kansas City Chiefs,DF,6.2,KC,DF,3900.0,KC,Sun 8:20PM
Jacksonville Jaguars,DF,6.1,JAC,DF,3500.0,JAC,Sun 1:00PM
Los Angeles Chargers,DF,5.9,LAC,DF,4000.0,LAC,Sun 8:20PM
Seattle Seahawks,DF,5.9,SEA,DF,4200.0,SEA,Sun 4:05PM
New York Jets,DF,5.7,NYJ,DF,4100.0,NYJ,Sun 1:00PM
Cleveland Browns,DF,5.6,CLE,DF,3800.0,CLE,Sun 1:00PM
New York Giants,DF,5.6,NYG,DF,3300.0,NYG,Sun 1:00PM
Chicago Bears,DF,5.5,CHI,DF,3600.0,CHI,Sun 4:25PM
Atlanta Falcons,DF,5.3,ATL,DF,3200.0,ATL,Sun 1:00PM
Las Vegas Raiders,DF,5.0,LV,DF,3100.0,LV,Sun 1:00PM
Los Angeles Rams,DF,4.7,LAR,DF,3400.0,LAR,Sun 4:25PM
Carolina Panthers,DF,4.7,CAR,DF,3000.0,CAR,Sun 1:00PM
